NDVI,GNDVI,EVI,MSR,TCART,CIrededge１,CIgreen,RDVI,RVI,TVI,LCI1,LCI2,MTVI,SPAD
0.549298,0.4150775,0.612549,1.157119,0.8654069,1.074363,1.277962,0.570713,3.437519,39.67338,0.250432,-0.02151,0.148928,40.93333333
0.570896,0.4364138,0.642699,1.232512,0.8828035,1.077731,1.283098,0.595095,3.660879,41.28836,0.265966,-0.024814,0.152974,46.1
0.567599,0.4297325,0.640034,1.220712,0.926313,1.089003,1.302523,0.593577,3.625336,41.46298,0.248512,-0.023476,0.153565,43.56666667
0.564641,0.4423056,0.602579,1.210218,0.7176697,0.917793,1.063874,0.554249,3.593909,35.91198,0.287143,-0.029575,0.140766,46.36666667
0.501916,0.384931,0.579253,1.00576,0.8469636,1.275324,1.551407,0.555099,3.015383,40.96784,0.24835,-0.025912,0.146258,44.03333333
0.510016,0.3929777,0.565732,1.030405,0.8044416,1.102636,1.297742,0.534408,3.081766,37.28792,0.239657,-0.020866,0.140236,40.96666667
0.533645,0.4137724,0.599899,1.105119,0.7865239,1.111276,1.323292,0.56331,3.288577,39.45662,0.273653,-0.028635,0.145861,47.43333333
0.535485,0.4166606,0.617264,1.111123,0.802469,1.198674,1.455469,0.583006,3.305565,42.06166,0.287135,-0.034916,0.150348,39.73333333
0.546015,0.4276766,0.627332,1.146037,0.8409419,1.174888,1.409907,0.589417,3.40543,42.0398,0.278687,-0.031468,0.150853,44.5
0.515853,0.3939021,0.575549,1.04846,0.7735854,1.110936,1.324504,0.543215,3.130974,38.20232,0.260277,-0.025017,0.142902,43.76666667
0.559511,0.4277325,0.638089,1.192218,0.8240422,1.127891,1.365,0.595159,3.540405,42.16214,0.2906,-0.031345,0.153601,41.23333333
0.524188,0.4121463,0.599588,1.074693,0.8013946,1.190789,1.423676,0.567712,3.203341,40.6135,0.272869,-0.030185,0.146305,42.23333333
0.498955,0.3868586,0.564605,0.996868,0.8117701,1.194539,1.421544,0.538482,2.991655,38.6341,0.243035,-0.023132,0.141397,45.9
0.505835,0.3879045,0.590365,1.017625,0.8947755,1.324339,1.6224,0.566914,3.04723,42.39124,0.244119,-0.025794,0.148955,38.33333333
0.519635,0.4082541,0.599159,1.060298,0.8153757,1.234917,1.482119,0.569712,3.163503,41.27964,0.270412,-0.029058,0.14706,44.73333333
0.54652,0.4318605,0.622543,1.147736,0.8085804,1.144266,1.35552,0.583498,3.410337,41.02988,0.283785,-0.028881,0.148662,52.8
0.521481,0.4089184,0.598446,1.066115,0.8333417,1.213922,1.450784,0.567795,3.179562,40.88188,0.262261,-0.027219,0.146671,43.36666667
0.49419,0.3836079,0.56038,0.982687,0.827842,1.211543,1.442781,0.535822,2.954055,38.61584,0.235315,-0.022909,0.14087,43.8
0.54346,0.4219731,0.59264,1.137479,0.762069,1.007029,1.170611,0.55096,3.380779,37.02624,0.26844,-0.021806,0.141972,40.66666667
0.547335,0.4257424,0.642569,1.150482,0.8984733,1.267723,1.544254,0.607171,3.41828,44.61094,0.276866,-0.030425,0.155576,42.53333333
0.549469,0.4308077,0.641772,1.157699,0.8649434,1.24109,1.498909,0.604922,3.439204,43.97894,0.285349,-0.03033,0.154289,40.2
0.610181,0.5803379,0.229607,1.382109,0.1083575,0.141953,0.156113,0.263291,4.130587,6.95718,0.386967,-0.070343,0.038926,44.66666667
0.508319,0.3974658,0.588774,1.025203,0.8304768,1.274329,1.542129,0.563339,3.067679,41.35594,0.260342,-0.029879,0.146407,43.46666667
0.503207,0.3911553,0.56796,1.009657,0.8086602,1.175403,1.396308,0.540358,3.025821,38.53024,0.245353,-0.024235,0.141454,37.66666667
0.52872,0.4120201,0.581182,1.089185,0.7832965,1.040562,1.220731,0.544051,3.243765,37.08996,0.254494,-0.026813,0.14078,47.9
0.49888,0.3897928,0.560715,0.996644,0.7774916,1.157069,1.376472,0.533778,2.991058,37.8613,0.249822,-0.028637,0.139601,44.2
0.521733,0.4058987,0.584808,1.066912,0.793949,1.120285,1.32544,0.551313,3.181767,38.6341,0.259603,-0.025467,0.143193,46.23333333
0.453885,0.3511171,0.519973,0.868598,0.8343041,1.338142,1.612365,0.507467,2.662233,37.8457,0.210276,-0.021854,0.13586,48.03333333
0.504137,0.3963797,0.586275,1.012472,0.8594655,1.302214,1.574875,0.562714,3.033374,41.53158,0.250365,-0.029716,0.145974,46.83333333
0.507853,0.3962158,0.570006,1.023779,0.7988031,1.142714,1.353864,0.540483,3.06383,38.13508,0.248132,-0.026215,0.140955,47.66666667
0.519201,0.4036929,0.578852,1.058934,0.7845271,1.099376,1.302635,0.545527,3.159742,38.02502,0.257304,-0.028059,0.141896,44.36666667
0.605608,0.4811074,0.712275,1.363776,0.9267536,1.17953,1.412682,0.657053,4.071101,46.7299,0.307274,-0.033346,0.162724,41.5
0.524105,0.4118726,0.590385,1.07443,0.810979,1.137677,1.339825,0.556737,3.202611,39.07202,0.25823,-0.024539,0.143634,42.43333333
0.515287,0.4004285,0.614554,1.046698,0.9495035,1.422874,1.751741,0.592291,3.126151,45.18256,0.250174,-0.025539,0.153398,38.93333333
0.477513,0.3665173,0.541829,0.93425,0.8173358,1.25895,1.492325,0.521785,2.827849,38.08906,0.227279,-0.01327,0.139004,39.66666667
0.500063,0.3863071,0.550931,1.000189,0.7596304,1.093022,1.277317,0.521573,3.000504,36.21126,0.243785,-0.018527,0.137235,48.93333333
