TIMESTAMP_START,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,WS_F,RH
2003/1/1 6:30,-20.92,0.901,136.9,0.441,93.3,2.133,61.7
2003/1/1 7:00,-21.08,27.46,136.3,0.404,93.4,2.814,64.4
2003/1/1 7:30,-20.82,91,135.1,0.408,93.4,1.794,64.84
2003/1/1 8:00,-20.1,173.5,133.6,0.452,93.4,1.796,63.44
2003/1/1 8:30,-19.05,255.2,133.8,0.537,93.4,2.193,60.31
2003/1/1 9:00,-18.81,324.3,134.2,0.578,93.4,4.855,58.16
2003/1/1 9:30,-18.61,389.5,135.5,0.621,93.4,4.6,55.8
2003/1/1 10:00,-18.32,425.9,136.7,0.681,93.4,4.014,52.7
2003/1/1 10:30,-18.13,464.8,137.8,0.755,93.4,4.651,48.41
2003/1/1 11:00,-17.88,466.2,138.7,0.804,93.4,3.867,46.22
2003/1/1 11:30,-17.81,468.1,137.9,0.864,93.4,4.573,42.59
2003/1/1 12:00,-17.72,451.9,136.6,0.918,93.4,4.394,39.49
2003/1/1 12:30,-17.78,429.8,137.1,0.908,93.4,4.527,39.83
2003/1/1 13:00,-17.74,376.3,135.8,0.896,93.5,4.003,40.83
2003/1/1 13:30,-17.8,309.7,135,0.866,93.5,4.441,42.53
2003/1/1 14:00,-18.1,240.4,140.4,0.813,93.5,4.965,44.6
2003/1/1 14:30,-18.34,181.8,133.7,0.795,93.6,4.942,44.72
2003/1/1 15:00,-18.65,98.4,129.3,0.796,93.6,4.456,43.2
2003/1/2 6:30,-27.03,1.312,141.2,0.282,93.8,2.047,57.5
2003/1/2 7:00,-26.55,15.81,142.7,0.306,93.8,1.978,55.84
2003/1/2 7:30,-26.36,72.73,142.8,0.303,93.8,1.772,57.12
2003/1/2 8:00,-24.72,187.8,144.4,0.377,93.7,1.011,53.98
2003/1/2 8:30,-22.79,264.1,147,0.5,93.7,0.645,48.75
2003/1/2 9:00,-21.9,345,150.1,0.53,93.7,0.66,49.8
2003/1/2 9:30,-20.13,392,156.9,0.673,93.6,0.972,45.43
2003/1/2 10:00,-19.61,390.3,171,0.714,93.5,0.764,44.6
2003/1/2 10:30,-18.71,348.5,176.2,0.806,93.5,1.156,42.17
2003/1/2 11:00,-17.37,341.2,185.7,0.924,93.4,0.752,40.86
2003/1/2 11:30,-16.33,321.5,197.1,1.023,93.4,0.881,40.01
2003/1/2 12:00,-14.98,285.4,209,1.197,93.3,0.645,37.26
2003/1/2 12:30,-14.53,224.6,200.6,1.227,93.3,1.01,38.08
2003/1/2 13:00,-14.77,187.5,206.5,1.225,93.3,1.291,36.91
2003/1/2 13:30,-14.65,146.1,219.2,1.263,93.3,1.562,35.61
2003/1/2 14:00,-14.54,126.8,222.8,1.239,93.3,1.39,37.38
2003/1/2 14:30,-14.69,80.7,228.4,1.197,93.3,1.579,38.77
2003/1/2 15:00,-15.13,45.27,225.7,1.078,93.2,1.15,42.8
2003/1/3 6:30,-16.57,0.337,237,0.294,92.9,1.344,82.4
2003/1/3 7:00,-16.77,14.88,236.8,0.291,92.9,1.488,82.3
2003/1/3 7:30,-17.36,60.38,237.4,0.288,92.9,1.597,81.6
2003/1/3 8:00,-17.61,101.4,238.4,0.276,92.9,1.131,82
2003/1/3 8:30,-17.18,180.6,242.3,0.302,92.8,0.298,81
2003/1/3 9:00,-16.36,240.3,248.7,0.335,92.8,0.423,80.3
2003/1/3 9:30,-15.45,264.4,254,0.378,92.8,0.42,79.4
2003/1/3 10:00,-14.9,334.5,258.5,0.477,92.7,0.767,75.18
2003/1/3 10:30,-14.65,350.4,259.3,0.555,92.7,1.053,71.71
2003/1/3 11:00,-14.32,353.8,260.9,0.604,92.6,0.997,70.04
2003/1/3 11:30,-14.36,209.8,257.9,0.577,92.6,1.778,71.28
2003/1/3 12:00,-13.61,274.6,261,0.716,92.5,0.792,66.47
2003/1/3 12:30,-13.66,243.8,259.3,0.781,92.5,1.372,63.29
2003/1/3 13:00,-14,155.1,257.1,0.611,92.5,2.217,70.47
2003/1/3 13:30,-14.47,121.6,254.5,0.38,92.5,2.407,80.9
2003/1/3 14:00,-14.58,103.4,252.3,0.365,92.5,2.179,81.5
2003/1/3 14:30,-14.56,90.6,242.5,0.636,92.6,2.942,67.82
2003/1/3 15:00,-15.03,49.01,235.7,0.646,92.6,2.844,66
2003/1/4 6:30,-26.13,0.43,131,0.188,92.6,1.919,73.9
2003/1/4 7:00,-26.51,18.88,129.2,0.175,92.6,1.783,74.87
2003/1/4 7:30,-26.23,79.99,144.1,0.194,92.7,1.442,72.79
2003/1/4 8:00,-25.74,108,170.8,0.233,92.7,2.174,68.84
2003/1/4 8:30,-25.27,156.1,184.8,0.276,92.7,3.291,64.68
2003/1/4 9:00,-25.16,225.2,156,0.301,92.7,3.781,61.86
2003/1/4 9:30,-25.04,280.6,152.5,0.32,92.7,4.399,59.77
2003/1/4 10:00,-24.53,387.1,156.8,0.359,92.6,3.731,57.02
2003/1/4 10:30,-23.98,393.4,161.7,0.398,92.6,4.469,54.6
2003/1/4 11:00,-23.89,400.4,160.1,0.398,92.6,4.606,55
2003/1/4 11:30,-23.81,271.9,163.6,0.393,92.6,4.513,55.91
2003/1/4 12:00,-23.85,322.7,166.3,0.411,92.6,5.618,53.65
2003/1/4 12:30,-24.05,276.9,163,0.408,92.6,5.144,53.13
2003/1/4 13:00,-23.97,183.1,164.7,0.419,92.6,4.608,52.31
2003/1/4 13:30,-24.2,190.1,171.5,0.408,92.6,4.627,52.58
2003/1/4 14:00,-24.19,112.3,198.1,0.368,92.7,4.518,57.25
2003/1/4 14:30,-24.23,55.05,204.3,0.346,92.7,4.621,59.68
2003/1/4 15:00,-24.21,26.9,202.4,0.335,92.8,4.114,61.02
2003/1/5 6:30,-26.57,0.726,136.3,0.259,93.3,3.306,62.55
2003/1/5 7:00,-26.23,13.89,164.6,0.246,93.3,3.279,65.56
2003/1/5 7:30,-25.97,54.71,149.3,0.237,93.3,4.025,67.61
2003/1/5 8:00,-25.6,134.8,149.6,0.26,93.4,4.017,65.7
