TIMESTAMP,SW_IN_Fx/Rax,SW_IN_Fx,Rax,Ra,SW_IN_F,TA_F,WS_F,TA_D,RH,dswrf,gust,spfh,tmax,tmin
20091215,0.241406946,338.566,1402.47,1403.01,340.964,25.951,2.089,1.486,52.536315,1490,12.39692,5.00706,18.42,17.45
20091215,0.241406946,338.566,1402.47,1403.01,340.964,25.951,2.089,1.486,55.08130833,1490,12.39692,5.00706,18.42,17.45
20091216,0.243023214,340.964,1403.01,1403.51,275.034,27.437,2.637,0.256,60.66981154,1400,22.56176,6.02508,20.29,19.43
20091217,0.195961554,275.034,1403.51,1403.97,260.517,27.693,2.954,0.622,57.88461923,1430,27.92784,6.53341,21.52,20.7
20091218,0.185557384,260.517,1403.97,1404.41,281.768,28.315,2.258,1.81,56.20833846,1400,20.24802,6.62998,23.05,21.62
20091219,0.20063087,281.768,1404.41,1404.81,288.618,30.125,3.18,-1.271,60.55778333,1380,27.54003,7.03505,23.4,22.85
20091220,0.205449847,288.618,1404.81,1405.18,233.482,28.854,3.067,-0.738,66.14208462,1100,25.42043,7.21141,24.7,23.63
20091221,0.166158072,233.482,1405.18,1405.51,168.838,28.116,1.49,1.605,62.01115769,1140,5.345775,7.49256,23.5,22.93
20091222,0.120125791,168.838,1405.51,1405.82,216.834,29.721,1.552,-0.703,62.22187308,1120,7.6374,7.54,23.81,23.17
20091223,0.15424023,216.834,1405.82,1406.1,259.236,29.018,2.1,0.151,61.40525769,1412,15.33414,7.56223,24.56,23.85
20091224,0.184365266,259.236,1406.1,1406.34,265.802,29.169,2.865,0.142,66.32938077,1430,18.73416,7.72667,23.91,23.2
20091225,0.189002659,265.802,1406.34,1406.54,205.746,29.311,1.476,0.381,60.95029615,920,16.035581,7.809,24.57,23.96
20091226,0.146278101,205.746,1406.54,1406.63,258.786,29.692,2.313,-1.097,64.346575,1202,11.53541,8.07438,24.69,24.02
20091227,0.183975886,258.786,1406.63,1406.44,282.236,28.595,1.955,0.953,56.97167917,1200,13.03183,7.70376,25.57,24.32
20091228,0.200674042,282.236,1406.44,1406.95,305.589,29.548,1.836,-1.02,63.10923846,1493,7.172648,6.266,22.76,21.75
20091229,0.217199616,305.589,1406.95,1407.02,213.98,28.528,2.087,0.115,56.42914615,1024,8.98998,6.541,24.27,22.91
