TIMESTAMP_START,TIMESTAMP_END,TA_F,SW_IN_POT,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,LE_F_MDS
2.01E+11,2.01E+11,26.778,0,0,365.575,19.577,99.676,0,2.969,0.558025
2.01E+11,2.01E+11,26.497,0,0,365.575,18.939,99.664,0,3.058,1.34761
2.01E+11,2.01E+11,26.216,0,0,365.575,18.301,99.652,0,3.146,3.62068
2.01E+11,2.01E+11,25.935,0,0,365.575,17.663,99.64,0,3.235,4.49975
2.01E+11,2.01E+11,25.654,0,0,365.575,17.025,99.628,0,3.323,3.36476
2.01E+11,2.01E+11,25.374,0,0,365.575,16.387,99.616,0,3.412,4.68603
2.01E+11,2.01E+11,25.093,0,0,369.716,15.749,99.604,0,3.501,3.22217
2.01E+11,2.01E+11,24.805,0,0,369.716,14.983,99.612,0,3.538,0.403307
2.01E+11,2.01E+11,24.517,0,0,369.716,14.217,99.621,0,3.576,0.142532
2.01E+11,2.01E+11,24.229,0,0,369.716,13.451,99.629,0,3.613,2.97275
2.01E+11,2.01E+11,23.941,0,0,369.716,12.685,99.638,0,3.651,3.17349
2.01E+11,2.01E+11,23.653,1.54864,0,369.716,11.919,99.646,0,3.689,10.0734
2.01E+11,2.01E+11,23.365,95.9128,51.187,375.52,11.153,99.655,0,3.726,21.7199
2.01E+11,2.01E+11,23.858,246.325,129.196,375.52,11.588,99.68,0,3.809,26.9799
2.01E+11,2.01E+11,24.352,397.039,207.334,375.52,12.023,99.705,0,3.892,67.0007
2.01E+11,2.01E+11,24.846,545.476,284.264,375.52,12.458,99.73,0,3.975,129.345
2.01E+11,2.01E+11,25.34,689.096,358.67,375.52,12.893,99.755,0,4.058,177.505
2.01E+11,2.01E+11,25.833,825.441,429.281,375.52,13.328,99.78,0,4.14,236.791
2.01E+11,2.01E+11,26.327,952.178,633.803,389.029,13.764,99.805,0,4.223,260.297
2.01E+11,2.01E+11,27.24,1067.14,709.981,389.029,15.393,99.78,0,4.038,295.37
2.01E+11,2.01E+11,28.153,1168.36,777.012,389.029,17.022,99.754,0,3.853,349.896
