TIMESTAMP_START,TIMESTAMP_END,TA_F,SW_IN_POT,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,LE_F_MDS,LE_CORR,H_F_MDS,H_CORR
2.01E+11,2.01E+11,30.704,0,0,432.092,27.877,93.722,0,1.569,3,3.84916,-7.5,-9.61702
2.01E+11,2.01E+11,30.373,0,0,410.964,26.628,93.737,0,1.658,3,3.84759,-7.5,-9.61685
2.01E+11,2.01E+11,29.982,0,0,410.964,25.414,93.733,0,1.616,13.5625,17.3949,-21.4375,-27.487
2.01E+11,2.01E+11,29.592,0,0,410.964,24.199,93.73,0,1.573,11.8667,15.2252,-21,-26.9257
2.01E+11,2.01E+11,29.201,0,0,410.964,22.985,93.727,0,1.531,10.3125,13.2301,-21.125,-27.0867
2.01E+11,2.01E+11,28.81,0,0,410.964,21.771,93.724,0,1.488,22,28.2178,-49,-62.8268
2.01E+11,2.01E+11,28.42,0,0,410.964,20.556,93.72,0,1.446,15.75,20.2072,-37,-47.4465
2.01E+11,2.01E+11,28.029,0,0,397.338,19.342,93.717,0,1.403,17,21.8154,-37.6,-48.2151
2.01E+11,2.01E+11,27.801,0,0,397.338,18.671,93.741,0,1.327,18.6667,23.9551,-40,-51.2907
2.01E+11,2.01E+11,27.573,0,0,397.338,18.001,93.765,0,1.25,18.1667,23.3086,-38.3333,-49.1493
2.01E+11,2.01E+11,27.346,0,0,397.338,17.33,93.788,0,1.173,15.1667,19.4643,-35.6667,-45.7289
2.01E+11,2.01E+11,27.118,0,0,397.338,16.66,93.812,0,1.096,16.8,21.5576,-40.4,-51.7911
2.01E+11,2.01E+11,26.89,76.9765,18.459,397.338,15.989,93.836,0,1.019,15.4,19.7612,-34.4,-44.1051
2.01E+11,2.01E+11,26.662,235.31,158.207,409.53,15.319,93.86,0,0.943,16.6,21.3045,-19,-24.3643
2.01E+11,2.01E+11,27.575,393.236,262.837,409.53,17.531,93.874,0,0.93,24.2,31.0697,3.8,4.87363
2.01E+11,2.01E+11,28.487,548.054,365.371,409.53,19.743,93.889,0,0.918,36.4,46.725,34.2,43.8697
2.01E+11,2.01E+11,29.4,697.113,464.056,409.53,21.955,93.903,0,0.905,54,69.3082,75,96.2174
2.01E+11,2.01E+11,30.312,837.863,557.205,409.53,24.166,93.918,0,0.893,74.8,95.9896,114.2,146.507
2.01E+11,2.01E+11,31.224,967.896,643.225,409.53,26.378,93.933,0,0.88,95.4,122.401,145.8,187.038
2.01E+11,2.01E+11,32.137,1084.99,750.962,439.987,28.59,93.947,0,0.868,118,151.378,177.8,228.094
2.01E+11,2.01E+11,32.84,1187.13,821.296,439.987,31.326,93.912,0,0.916,136.6,175.258,193.8,248.645
2.01E+11,2.01E+11,33.544,1272.59,880.084,439.987,34.061,93.878,0,0.963,145.75,187.017,218.4,280.238
2.01E+11,2.01E+11,34.248,1339.89,926.321,439.987,36.797,93.843,0,1.011,180,230.968,228,292.559
2.01E+11,2.01E+11,34.951,1387.88,959.215,439.987,39.532,93.808,0,1.058,206.5,265.02,245.6,315.2
2.01E+11,2.01E+11,35.655,1415.74,978.204,439.987,42.267,93.773,0,1.105,209,268.223,237.4,304.67
2.01E+11,2.01E+11,36.358,1423,940.939,440.073,45.003,93.738,0,1.153,218.25,280.069,240.4,308.493
2.01E+11,2.01E+11,36.706,1409.53,931.794,440.073,46.523,93.7,0,1.244,218.25,279.965,228.25,292.793
2.01E+11,2.01E+11,37.054,1375.56,909.104,440.073,48.044,93.662,0,1.336,184.75,236.944,206.5,264.839
2.01E+11,2.01E+11,37.402,1321.68,873.257,440.073,49.565,93.624,0,1.427,165.667,212.397,185,237.184
2.01E+11,2.01E+11,37.75,1248.8,824.865,440.073,51.085,93.586,0,1.518,160,205.091,180.5,231.368
2.01E+11,2.01E+11,38.098,1158.17,764.756,440.073,52.606,93.548,0,1.61,131.417,168.413,226.25,289.949
2.01E+11,2.01E+11,38.446,1051.34,591.373,430.088,54.127,93.51,0,1.701,125.091,160.315,204.545,262.149
2.01E+11,2.01E+11,38.336,930.148,522.961,430.088,53.955,93.507,0,1.756,110,140.974,173.1,221.846
2.01E+11,2.01E+11,38.226,796.657,447.64,430.088,53.784,93.504,0,1.811,93,119.187,117.636,150.763
2.01E+11,2.01E+11,38.116,653.154,366.697,430.088,53.612,93.501,0,1.865,61,78.1762,-10.5,-13.4568
2.01E+11,2.01E+11,38.007,502.094,281.517,430.088,53.441,93.498,0,1.92,61,78.1778,-8.33333,-10.6798
2.01E+11,2.01E+11,37.897,346.063,193.556,430.088,53.269,93.495,0,1.975,42.6667,54.6817,-8.25,-10.5718
2.01E+11,2.01E+11,37.787,187.729,24.636,425.751,53.098,93.492,0,2.03,33.25,42.6125,-8,-10.2503
2.01E+11,2.01E+11,37.121,37.3111,3.62,425.751,50.927,93.531,0,1.922,10,12.8145,-8.2,-10.5055
2.01E+11,2.01E+11,36.454,0,0,425.751,48.756,93.571,0,1.815,4.25,5.44564,-5.6,-7.17363
2.01E+11,2.01E+11,35.788,0,0,425.751,46.585,93.61,0,1.707,3.8,4.86894,-5.6,-7.17301
2.01E+11,2.01E+11,35.122,0,0,425.751,44.415,93.65,0,1.6,2.6,3.33186,-3.4,-4.35513
2.01E+11,2.01E+11,34.455,0,0,425.751,42.244,93.69,0,1.492,2,2.56298,-2.5,-3.20219
2.01E+11,2.01E+11,33.789,0,0,409.553,40.073,93.729,0,1.385,2,2.56268,-3.25,-4.16204
2.01E+11,2.01E+11,33.245,0,0,409.553,38.583,93.751,0,1.452,2,2.56321,-4,-5.12179
2.01E+11,2.01E+11,32.702,0,0,409.553,37.092,93.772,0,1.518,2.6,3.33142,-6.4,-8.19374
2.01E+11,2.01E+11,32.159,0,0,409.553,35.602,93.794,0,1.585,4.83333,6.18831,-13.5,-17.2808
2.01E+11,2.01E+11,31.615,0,0,409.553,34.112,93.816,0,1.652,5.28571,6.76549,-16.7143,-21.3918
2.01E+11,2.01E+11,31.072,0,0,409.553,32.622,93.838,0,1.719,5.71429,7.31448,-19.7143,-25.2312
2.01E+11,2.01E+11,30.528,0,0,399.079,31.131,93.859,0,1.786,5.57143,7.12876,-19.8571,-25.4129
2.01E+11,2.01E+11,30.165,0,0,399.079,29.991,93.855,0,1.692,5.33333,6.82403,-22.6667,-29.0067
2.01E+11,2.01E+11,29.801,0,0,399.079,28.851,93.851,0,1.599,3.6,4.60824,-21.6,-27.6415
2.01E+11,2.01E+11,29.437,0,0,399.079,27.711,93.847,0,1.506,5.16667,6.61403,-22.1667,-28.3676
2.01E+11,2.01E+11,29.074,0,0,399.079,26.571,93.843,0,1.413,7,8.95932,-23.2857,-29.8
2.01E+11,2.01E+11,28.71,0,0,399.079,25.43,93.838,0,1.319,7.22222,9.24449,-24.1111,-30.8601
2.01E+11,2.01E+11,28.346,0,0,391.009,24.29,93.834,0,1.226,8.5,10.8814,-25.6,-32.7661
2.01E+11,2.01E+11,28.221,0,0,391.009,23.702,93.868,0,1.078,9.90909,12.6854,-28,-35.8365
2.01E+11,2.01E+11,28.096,0,0,391.009,23.113,93.902,0,0.93,9.36364,11.984,-27.1818,-34.7875
2.01E+11,2.01E+11,27.97,0,0,391.009,22.525,93.936,0,0.782,7.81818,10.0085,-25.8182,-33.0414
2.01E+11,2.01E+11,27.845,0,0,391.009,21.936,93.97,0,0.634,7.6,9.72996,-27.2,-34.8065
2.01E+11,2.01E+11,27.719,76.211,17.976,391.009,21.348,94.003,0,0.486,8.1,10.3704,-23.2,-29.6904
2.01E+11,2.01E+11,27.594,234.64,154.641,411.119,20.759,94.037,0,0.338,10.7,13.7013,-15.2,-19.4545
2.01E+11,2.01E+11,28.514,392.663,258.305,411.119,23.19,94.064,0,0.834,21.5,27.5419,3.2,4.09616
2.01E+11,2.01E+11,29.434,547.574,359.919,411.119,25.621,94.092,0,1.329,35.3,45.2156,28.7,36.7416
2.01E+11,2.01E+11,30.354,696.723,457.747,411.119,28.052,94.119,0,1.825,53.6,68.6471,65.5,83.8591
2.01E+11,2.01E+11,31.274,837.559,550.115,411.119,30.483,94.146,0,2.321,79.4,101.678,108.5,138.912
2.01E+11,2.01E+11,32.194,967.671,635.444,411.119,32.914,94.173,0,2.816,102.2,130.857,149.6,191.527
2.01E+11,2.01E+11,33.114,1084.83,813.89,425.991,35.345,94.201,0,3.312,120.5,154.277,184.4,236.089
2.01E+11,2.01E+11,33.849,1187.04,890.467,425.991,37.96,94.169,0,3.309,140.8,180.289,212.8,272.482
2.01E+11,2.01E+11,34.584,1272.55,954.52,425.991,40.575,94.138,0,3.306,156.333,200.207,239,306.073
2.01E+11,2.01E+11,35.319,1339.89,1004.955,425.991,43.189,94.106,0,3.303,177.111,226.835,254,325.311
2.01E+11,2.01E+11,36.054,1387.91,1040.907,425.991,45.804,94.075,0,3.3,200.889,257.354,273.8,350.759
2.01E+11,2.01E+11,36.789,1415.79,1061.762,425.991,48.418,94.043,0,3.297,207.667,266.053,274,351.036
2.01E+11,2.01E+11,37.524,1423.05,1086.037,421.038,51.033,94.012,0,3.294,208.333,266.911,269.7,345.532
2.01E+11,2.01E+11,37.84,1409.57,1075.711,421.038,52.55,93.968,0,3.437,201.222,257.728,257.667,330.023
2.01E+11,2.01E+11,38.156,1375.58,1049.738,421.038,54.067,93.923,0,3.581,181.556,232.503,239.889,307.206
2.01E+11,2.01E+11,38.472,1321.67,1008.562,421.038,55.583,93.879,0,3.724,162.375,207.878,222.625,285.012
2.01E+11,2.01E+11,38.788,1248.74,952.886,421.038,57.1,93.835,0,3.867,156.857,200.78,222,284.164
2.01E+11,2.01E+11,39.104,1158.06,883.663,421.038,58.617,93.791,0,4.01,143.667,183.855,211.167,270.242
2.01E+11,2.01E+11,39.42,1051.17,670.169,409.038,60.133,93.746,0,4.153,138.5,177.255,198,253.409
