TIMESTAMP,SW_IN_Fx/Rax,SW_IN_Fx,Rax,Ra,SW_IN_F,TA_F,P_F,WS_F,TA_D,RH,acpcp,apcp,dswrf,gust,spfh,tmax,tmin
20120718,0.146889497,174.468,1187.75,1186.1,215.146,12.395,0,2.833,-0.666,17,0,0,810,42.45613,0.894,22.15,13.65
20120718,0.146889497,174.468,1187.75,1186.1,215.146,12.395,0,2.833,-0.666,26.75,0,0,810,42.45613,0.894,22.15,13.65
20120719,0.181389428,215.146,1186.1,1184.39,214.771,11.729,0,3.165,-1.481,30.45833333,0,0,811,45.54372,1.211,19.95,12.65
20120720,0.181334695,214.771,1184.39,1182.61,216.896,10.248,0,3.216,-0.05,24.86363636,0,0,816,46.42913,1.161405,18.25,10.75
20120721,0.183404504,216.896,1182.61,1180.76,220,10.198,0,3.4,1.957,27.40909091,0,0,830,55.9143,1.357,18.05,10.45
20120722,0.186320675,220,1180.76,1178.84,220.083,12.155,0,3.489,0.584,28.66666667,0,0,831,40.7962,1.415,19.65,11.65
20120723,0.186694547,220.083,1178.84,1176.86,217.833,12.739,0,2.432,2.646,28.125,0,0,826,22.81933,1.54,21.05,12.85
20120724,0.185096783,217.833,1176.86,1174.8,215.375,15.385,0,1.988,1.562,20.625,0,0,822,9.65959,1.712,23.65,15.75
20120725,0.183329077,215.375,1174.8,1172.68,209.792,16.947,0,1.93,-3.923,30.91666667,0,0,824,37.88566,1.518,25.45,18.75
20120726,0.178899615,209.792,1172.68,1170.48,217.021,13.024,0,2.521,-2.475,30.75,0,0,826,29.98531,1.394,20.05,12.05
20120727,0.185411968,217.021,1170.48,1168.21,227.125,10.549,0,3.175,-0.187,35.375,0,0,854,40.43205,1.257,17.85,11.75
20120728,0.19442138,227.125,1168.21,1165.86,225.271,10.362,0,3.078,0.2,35.33333333,0,0,851,39.5835,1.308,18.65,10.85
20120729,0.193223028,225.271,1165.86,1163.44,226.5,10.562,0,3.078,0.669,35.125,0,0,857,43.38408,1.363,18.85,11.55
20120730,0.19468129,226.5,1163.44,1160.95,228.688,11.231,0,3.422,-0.701,32.04166667,0,0,865,47.0918,1.525,18.45,11.85
20120731,0.196983505,228.688,1160.95,1158.38,232.75,10.53,0,3.033,0.432,23.66666667,0,0,880,34.67077,1.074,18.95,10.25
20120801,0.200927157,232.75,1158.38,1155.73,234.771,10.962,0,2.376,2.339,17.75,0,0,894,18.47083,0.825,19.85,10.95
20120802,0.203136546,234.771,1155.73,1153.01,235.417,13.301,0,1.601,2.329,11.20833333,0,0,903,8.132981,0.880079,22.25,14.05
20120803,0.204176026,235.417,1153.01,1150.21,236.729,15.63,0,1.575,1.502,10.66666667,0,0,905,16.2684,0.729,24.75,18.05
20120804,0.205813721,236.729,1150.21,1147.33,234.125,17.132,0,1.877,-0.02,12.04166667,0,0,898,11.07226,0.95,25.25,17.75
20120805,0.204060732,234.125,1147.33,1144.36,236.208,17.112,0,1.819,-0.822,20.375,0,0,904,29.65474,1.135,25.75,18.75
20120806,0.20641057,236.208,1144.36,1141.32,235,16.29,0,2.684,0.434,19.20833333,0,0,896,26.14874,1.263,24.35,17.35
20120807,0.205901938,235,1141.32,1138.2,235.875,16.724,0,2.128,1.002,15.29166667,0,0,906,15.31509,1.074,25.15,17.05
