TIMESTAMP,SW_IN_Fx/Rax,SW_IN_Ff,Raf,Ra,SW_IN_F,TA_F,P_F,WS_F,TA_D,RH,acpcp,apcp,dswrf,gust,spfh,tmax,tmin
20120105,0.156934367,96.863,488.25,485.92,42.413,3.064,0.073,3.629,3.325,72.3225,0.01,0.01,250,40.47905,1.240451,-2.75,-3.89
20120105,0.156934367,96.863,488.25,485.92,42.413,3.064,0.073,3.629,3.325,71.208,0.01,0.01,250,40.47905,1.240451,-2.75,-3.89
20120106,0.087283915,96.863,490.72,488.25,96.863,6.389,0,5.842,-0.916,60.98125,0,0,173,62.5261,1.895508,2.42,0.28
20120107,0.198388121,56.762,493.33,490.72,96.863,5.473,0,3.706,-4.644,51.46944444,0.11,0.3,240,36.3151,1.652,3.21,2.87
20120108,0.205253505,89.327,496.1,493.33,56.762,0.829,0.06,2.345,2.152,59.865,0.11,0.1,369,24.16555,1.088033,0.87,-1.03
20120109,0.115058886,94.388,499,496.1,89.327,2.981,0.364,4.258,0.695,59.56875,0,0,293,37.85539,1.16707,-0.72,-1.38
20120110,0.180058456,85.718,502.04,499,94.388,3.676,0.176,3.008,1.069,62.16666667,0.03,0,301,34.98945,1.476653,2.43,1.53
20120111,0.189154309,9.566,505.23,502.04,85.718,4.745,0.806,3.379,0.013,90.30166667,0,0,340,21.83158,1.594401,1.15,0.88
20120112,0.170739383,28.366,508.55,505.23,9.566,4.758,8.703,4.223,-8.585,90.46666667,0,10.2,30,35.81661,2.116196,4.15,3.74
20120113,0.018933951,77.734,512.02,508.55,28.366,-3.827,3.162,6.287,-3.645,71.61555556,0.18,4.08,240,53.0004,1.062347,3.74,0.6
20120114,0.055778193,116.45,515.62,512.02,77.734,-7.472,0.385,3.431,-1.939,64.157,0.29,0.74,336,27.87501,0.753608,-5.14,-5.4
20120115,0.151818288,80.409,519.36,515.62,116.45,-9.411,0,2.52,10.684,61.45375,0,0,427,13.41884,0.481975,-12.39,-13.26
20120116,0.225844614,17.504,523.23,519.36,80.409,1.273,1.516,4.471,3.768,89.11,0,0.23,242,54.19903,1.157529,-5.15,-8.3
20120117,0.154823244,54.774,527.23,523.23,17.504,5.041,13.555,5.17,-8.985,58.484375,0.92,14.66,39,59.1469,2.00602,3.12,2.8
20120118,0.033453739,22.007,531.37,527.23,54.774,-3.944,0.366,3.827,-0.626,83.18722222,0.4,0.61,324,35.93631,0.757527,-3.27,-4.14
20120119,0.103890143,79.816,535.63,531.37,22.007,-4.57,3.593,5.639,-5.059,74.511875,0.15,5.3,151,50.38026,0.863094,-4.73,-5.65
20120120,0.041415586,130.576,540.02,535.63,79.816,-9.629,1.047,2.294,3.584,57.796,0.17,0.4,330,18.80135,0.546144,-8.89,-9.46
20120121,0.149013311,114.952,544.54,540.02,130.576,-6.045,0.793,2.863,4.596,61.09578571,0.02,4.04,450,22.37182,0.736,-7.9,-8.22
20120122,0.241798452,30.603,549.18,544.54,114.952,-1.449,0,3.342,6.313,83.54111111,0,0,330,27.25633,1.004835,-6.49,-7.52
20120123,0.211099276,14.904,553.94,549.18,30.603,4.864,11.081,5.946,-3.843,76.645,1.81,6.63,92,66.9123,1.848703,1.55,-0.57
20120124,0.055724899,26.65,558.83,553.94,14.904,1.021,0.886,5.625,-1.532,65.88722222,0.21,0.33,172,52.4054,1.094,0.85,-0.2
20120125,0.026905441,22.865,563.83,558.83,26.65,-0.511,0.085,1.849,0.995,85.835,0.21,0.1,388,16.85265,1.020494,-0.81,-1.82
20120126,0.047688921,19.997,568.94,563.83,22.865,0.484,2.09,2.896,1.573,87.105,0.02,2.23,149,19.20322,1.417383,-1.91,-2.08
20120127,0.040553004,20.848,574.07,568.94,19.997,2.057,13.033,3.56,-0.96,87.62111111,0.07,13.76,106,37.57485,1.601293,1.76,0.89
20120128,0.035147819,47.371,579.41,574.07,20.848,1.097,3.898,6.37,-1.374,77.14405,0.13,5.6,129,51.46149,1.289265,-1.59,-1.91
20120129,0.036316129,93.683,584.86,579.41,47.371,-0.277,1.72,5.058,-0.979,63.76857143,0.11,6,194,54.4727,1.097364,-2.66,-2.87
20120130,0.081757305,119.646,590.34,584.86,93.683,-1.256,1.647,3.216,9.309,54.218125,0.01,3.4,363,38.93676,0.984387,-4.01,-5.06
20120131,0.160180214,56.061,596.01,590.34,119.646,8.053,0.392,6.031,-1.94,66.42365,0,0.9,93,62.9059,1.888419,2.9,-0.69
20120201,0.202673036,35.384,601.78,596.01,56.061,6.113,1.392,4.13,-3.678,65.54514286,0.83,2.03,268,50.17769,1.881665,6.67,5.17
20120202,0.094060502,90.925,607.63,601.78,35.384,2.435,0,2.101,0.218,68.059,0.08,0,222,20.70147,1.272186,-0.03,-0.83
20120203,0.058798897,119.192,613.59,607.63,90.925,2.653,0,2.222,-0.996,62.4755,0.04,0,295,15.64757,1.282073,-2.21,-2.66
20120204,0.14963876,79.414,619.63,613.59,119.192,1.657,0,2.005,-0.313,65.0175,0.06,0.06,411,10.19348,1.244014,0.64,-0.17
20120205,0.194253492,122.482,625.76,619.63,79.414,1.344,0.102,2.073,1.425,76.54,0.02,0,405,11.87066,1.220604,-0.71,-1.11
20120206,0.128163581,41.696,631.98,625.76,122.482,2.769,0,4.865,-1.732,70.4615,0,0,533,47.55909,1.411,-0.13,-0.6
20120207,0.195733188,79.738,638.28,631.98,41.696,1.037,0,2.575,-3.685,59.90955,0.15,0.15,391,21.51645,1.206111,1.43,0.23
20120208,0.065976771,142.495,644.66,638.28,79.738,-2.648,0,2.265,2.535,66.00864286,0,0,317,15.50119,0.606162,-3.27,-3.53
20120209,0.124926365,21.631,651.11,644.66,142.495,-0.113,0,5.277,-0.205,69.90115,0,0,580,43.5626,0.966271,-1.98,-2.23
20120210,0.221038997,73.864,657.64,651.11,21.631,-0.318,1.746,4.774,-6.759,70.7145,0.12,0.8,222,41.46007,1.120098,-0.96,-1.37
20120211,0.033221729,70.783,664.23,657.64,73.864,-7.077,4.834,4.303,1.824,67.626,0.04,9.53,313,41.7823,0.884449,-1.16,-1.43
20120212,0.112316769,172.29,670.9,664.23,70.783,-5.253,0.834,4.842,4.189,60.60166667,0.44,2.48,430,50.4711,0.855132,-8.18,-10.44
20120213,0.106563991,37.43,677.63,670.9,172.29,-1.064,0,4.899,2.071,85.103,0,0,621,52.2805,0.944085,-5.37,-6.57
20120214,0.256804293,86.382,684.41,677.63,37.43,1.007,1.043,3.042,0.967,69.3571,0.14,1.8,348,29.0729,1.281507,-2.37,-3.33
20120215,0.055236634,28.728,691.25,684.41,86.382,1.974,0.222,3.125,1.486,89.48590909,0,0.4,608,24.01376,1.267563,-1.77,-2.4
20120216,0.126213819,131.064,698.14,691.25,28.728,3.46,4.452,3.141,-0.905,62.0155,0,5.62,126,29.09483,1.662959,-0.05,-1.75
20120217,0.041559494,60.592,705.08,698.14,131.064,2.555,0.386,3.552,-1.384,71.01681818,0.12,0.13,625,40.82989,1.274335,1.52,-0.65
20120218,0.187733119,96.66,712.08,705.08,60.592,1.171,3.946,4.373,-2.937,55.39611111,0.36,4.07,290,35.42442,1.373,-0.3,-1.82
20120219,0.085936348,186.62,719.1,712.08,96.66,-1.766,0,2.262,-0.638,49.931875,0.01,0,549,18.78762,0.931,-3.58,-4.39
