,TA_F,SW_IN_POT,SW_IN_F,LW_IN_F,VPD_F,P_F,WS_F,LE_F_MDS,H_F_MDS
0,-11.737,129.281,52.116,210.79,0.316,1.087,2.975,97.24,95.2006
1,-10.436,129.904,42.156,230.605,0.246,1.698,2.848,104.216,110.224
2,-9.59,130.587,42.26,225.677,0.425,0.124,2.35,99.6467,96.264
3,-5.96,131.327,7.835,276.763,0.439,9.97,6.555,97.24,95.2006
4,-8.42,132.127,46.416,250.701,0.35,6.105,8.359,104.216,110.224
5,-9.605,132.985,45.458,243.497,0.272,4.568,6.007,99.6467,96.264
6,-9.537,133.901,50.956,235.347,0.319,2.255,4.164,97.24,95.2006
7,-6.554,134.875,60.551,242.725,0.68,0.128,5.282,104.216,110.224
8,-3.825,135.908,62.85,247.26,1.043,0.355,6.332,99.6467,96.264
9,-9.424,136.998,38.798,246.208,0.21,3.151,3.526,97.24,95.2006
10,-11.552,138.144,55.802,219.848,0.27,1.475,3.031,104.216,110.224
11,-9.734,139.348,54.791,228.293,0.341,2.268,3.173,99.6467,96.264
12,-4.763,140.608,41.317,270.315,0.469,3.978,5.024,97.24,95.2006
13,-12.545,141.925,25.702,236.596,0.142,3.202,4.639,104.216,110.224
14,-16.07,143.297,69.846,184.868,0.258,0.46,3.203,99.6467,96.264
15,-9.558,144.725,50.59,235.941,0.358,1.69,5.285,97.24,95.2006
16,-8.608,146.207,39.043,248.234,0.281,3.264,3.35,104.216,110.224
17,-9.67,147.744,62.368,232.2,0.344,1.37,2.987,99.6467,96.264
18,-12.178,149.335,60.068,221.562,0.19,1.394,2.91,97.24,95.2006
19,-16.711,150.98,71.091,185.537,0.227,0.873,1.813,104.216,110.224
20,-17.157,152.677,49.945,199.999,0.213,0.352,2.193,99.6467,96.264
21,-13.403,154.427,65.404,219.296,0.312,1.87,3.418,97.24,95.2006
22,-8.571,156.229,72.042,239.304,0.5,0.867,2.284,104.216,110.224
23,-9.96,158.082,49.727,241.259,0.191,0.58,5.344,99.6467,96.264
24,-9.779,159.985,68.787,225.221,0.358,0.402,5.982,97.24,95.2006
25,-10.909,161.938,80.803,213.491,0.302,0.113,2.513,104.216,110.224
26,-9.66,163.939,73.235,242.89,0.487,2.514,3.184,99.6467,96.264
27,-3.256,165.989,20.427,294.966,0.519,9.18,7.075,97.24,95.2006
28,-6.747,168.087,67.985,248.376,0.509,3.289,8.021,104.216,110.224
29,-10.097,170.233,56.039,245.529,0.281,4.304,4.91,99.6467,96.264
30,-10.459,172.423,63.988,243.02,0.353,2.364,4.955,97.24,95.2006
31,-9.609,174.659,36.867,260.79,0.351,2.401,5.659,104.216,110.224
32,-10.312,176.939,80.902,227.471,0.369,0.262,2.308,99.6467,96.264
33,-12.568,179.263,87.866,216.634,0.291,0.079,1.971,97.24,95.2006
34,-13.324,181.63,83.981,222.104,0.191,0.739,2.571,104.216,110.224
35,-13.238,184.037,83.259,216.139,0.202,1.019,2.02,99.6467,96.264
36,-13.169,186.486,91.518,207.534,0.438,0.13,1.356,97.24,95.2006
37,-10.276,188.975,89.469,239.267,0.499,0.198,1.765,104.216,110.224
38,-6.493,191.502,96.355,241.992,0.698,0.8185,1.604,99.6467,96.264
39,-4.791,194.067,72.6,273.562,0.501,1.439,2.628,97.24,95.2006
40,-6.233,196.668,78.333,254.903,0.4,1.61,5.221,104.216,110.224
41,-8.783,199.306,92.082,235.876,0.548,0.903,1.543,99.6467,96.264
42,-11.532,201.978,67.316,236.955,0.254,4.726,4.187,97.24,95.2006
43,-12.375,204.683,97.778,221.625,0.329,2.515,5.595,104.216,110.224
44,-10.762,207.422,84.916,230.639,0.328,2.489,4.955,99.6467,96.264
45,-9.278,210.191,101.797,233.761,0.598,1.318,4.424,97.24,95.2006
46,-7.468,212.991,84.906,247.316,0.611,0.438,2.665,104.216,110.224
47,-13.114,215.82,76.045,217.295,0.173,1.469,2.448,99.6467,96.264
48,-14.886,218.677,109.657,198.217,0.325,1.2028,1.875,97.24,95.2006
49,-15.965,221.561,126.877,181.921,0.302,0.9366000000000001,1.668,104.216,110.224
50,-16.059,224.471,111.754,195.935,0.265,0.6704000000000001,2.021,99.6467,96.264
51,-14.213,227.405,122.675,190.08,0.487,0.4042000000000001,1.504,97.24,95.2006
52,-13.187,230.363,124.937,198.913,0.433,0.138,1.885,104.216,110.224
53,-14.626,233.344,126.773,193.974,0.299,0.225,2.278,99.6467,96.264
54,-12.712,236.345,111.544,216.907,0.314,0.312,1.792,97.24,95.2006
55,-13.172,239.367,131.908,205.403,0.378,0.399,1.689,104.216,110.224
56,-12.179,242.407,121.444,219.293,0.357,0.486,1.961,99.6467,96.264
57,-13.421,245.465,131.767,199.258,0.377,0.6313333333333333,2.581,97.24,95.2006
58,-7.006,248.54,147.507,218.867,0.809,0.7766666666666666,3.104,104.216,110.224
59,-2.425,251.63,107.169,270.41,0.759,0.922,5.827,99.6467,96.264
60,-4.411,254.735,125.555,247.837,0.649,0.239,3.139,97.24,95.2006
61,-6.077,257.851,64.599,274.601,0.463,9.196,3.924,104.216,110.224
62,-11.918,260.981,83.931,240.092,0.261,7.297,6.551,99.6467,96.264
63,-9.383,264.121,125.855,228.431,0.495,1.904,4.003,97.24,95.2006
64,-6.303,267.272,154.704,225.063,0.967,0.468,4.66,104.216,110.224
65,-5.337,270.429,136.606,246.407,0.619,0.731,3.097,99.6467,96.264
66,-9.734,273.596,98.043,243.495,0.211,2.041,7.184,97.24,95.2006
67,-13.336,276.768,136.85,213.167,0.264,0.897,7.211,104.216,110.224
68,-13.581,279.945,97.114,233.368,0.255,1.724,5.783,99.6467,96.264
69,-11.492,283.126,144.562,225.62,0.443,0.151,3.503,97.24,95.2006
70,-9.04,286.311,146.664,242.408,0.389,0.245,2.638,104.216,110.224
71,-7.144,289.497,135.243,246.871,0.445,1.3,2.582,99.6467,96.264
72,-4.628,292.684,162.966,235.957,0.809,1.495,3.875,97.24,95.2006
73,-4.444,295.872,158.337,239.274,0.978,0.567,3.535,104.216,110.224
74,-4.384,299.057,133.894,248.425,0.724,2.846,5.347,99.6467,96.264
75,-6.618,302.242,165.578,229.383,0.681,0.899,2.327,97.24,95.2006
76,-6.263,305.422,171.349,226.955,0.894,0.379,2.284,104.216,110.224
77,-7.398,308.598,130.378,247.828,0.544,0.503,2.414,99.6467,96.264
78,-8.944,311.769,174.485,220.238,0.519,0.273,2.103,97.24,95.2006
79,-9.219,314.934,181.314,211.302,0.693,0.186,2.138,104.216,110.224
80,-3.733,318.092,190.251,231.008,1.101,0.1884,4.09,99.6467,96.264
81,0.386,321.242,188.223,250.382,1.367,0.1908,5.818,97.24,95.2006
82,0.556,324.383,186.697,254.048,1.242,0.1932,4.391,104.216,110.224
83,0.187,327.513,173.914,264.533,0.851,0.1956,3.728,99.6467,96.264
84,-3.303,330.633,178.887,255.711,0.573,0.198,2.324,97.24,95.2006
85,-1.064,333.741,82.723,299.814,0.584,4.815,3.993,104.216,110.224
86,-3.461,336.837,24.12,303.628,0.212,13.349,3.609,99.6467,96.264
87,-5.547,339.918,111.866,278.356,0.43,3.131,3.651,97.24,95.2006
88,-5.267,342.987,178.626,245.556,0.713,0.88,3.098,104.216,110.224
89,-4.537,346.039,196.79,228.537,0.899,0.07,2.286,99.6467,96.264
90,-2.943,349.076,206.507,233.012,1.045,0.228,3.057,97.24,95.2006
91,-1.49,352.095,195.804,244.177,0.925,1.496,3.365,104.216,110.224
92,-3.401,355.098,204.989,236.341,1.189,0.7795,2.183,99.6467,96.264
93,-1.008,358.082,151.329,270.984,1.333,0.063,2.58,97.24,95.2006
94,-3.321,361.047,196.879,260.456,0.944,2.38525,1.819,104.216,110.224
95,-4.072,363.992,134.827,274.615,0.486,4.7075,3.313,99.6467,96.264
96,0.068,366.916,210.378,262.498,1.318,7.029749999999999,3.31,97.24,95.2006
97,0.177,369.82,82.86,303.927,1.246,9.352,4.841,104.216,110.224
98,-7.985,372.701,146.071,243.168,0.554,2.389,4.593,99.6467,96.264
99,-2.583,375.559,219.835,233.556,1.333,2.0576666666666665,4.119,97.24,95.2006
100,2.945,378.394,211.598,271.314,1.996,1.7263333333333333,4.522,104.216,110.224
101,2.614,381.206,79.318,321.455,1.081,1.395,3.714,99.6467,96.264
102,1.001,383.991,92.919,316.413,0.23,3.027,2.306,97.24,95.2006
103,0.508,386.752,121.856,304.202,0.537,0.338,2.082,104.216,110.224
104,4.153,389.488,225.462,264.015,2.158,1.8476000000000001,3.639,99.6467,96.264
105,6.921,392.196,222.859,287.971,3.526,3.3572,5.857,97.24,95.2006
106,8.556,394.877,178.602,305.96,4.087,4.8668000000000005,10.084,104.216,110.224
107,1.949,397.53,222.869,266.53,1.859,6.3764,4.138,99.6467,96.264
108,-0.997,400.155,67.871,287.71,0.32,7.886,1.714,97.24,95.2006
109,1.803,402.751,215.257,274.614,1.688,4.6075,2.164,104.216,110.224
110,-0.983,405.317,122.34,284.242,0.708,1.329,2.843,99.6467,96.264
111,2.432,407.853,225.773,258.646,2.286,1.362,4.005,97.24,95.2006
112,5.558,410.357,186.198,300.57,2.761,1.395,4.682,104.216,110.224
113,3.522,412.832,111.855,308.625,0.619,1.212,2.898,99.6467,96.264
114,6.012,415.274,220.207,294.486,1.886,2.4922000000000004,1.789,97.24,95.2006
115,5.689,417.684,127.917,305.43,2.012,3.7724,1.895,104.216,110.224
116,7.134,420.061,225.581,290.687,2.662,5.052600000000001,2.786,99.6467,96.264
117,9.276,422.404,220.012,300.868,2.577,6.332800000000001,6.679,97.24,95.2006
118,5.266,424.715,75.21,316.011,0.531,7.613,1.918,104.216,110.224
119,1.398,426.99,35.483,307.08,0.194,14.918,3.691,99.6467,96.264
120,2.588,429.23,223.126,263.311,2.29,0.651,5.801,97.24,95.2006
121,9.927,431.436,240.463,307.246,3.813,0.538,8.892,104.216,110.224
122,8.078,433.606,200.417,311.735,2.138,0.425,1.721,99.6467,96.264
123,4.429,435.739,231.788,277.621,1.991,0.083,2.686,97.24,95.2006
124,4.05,437.836,254.976,255.796,3.017,0.15550000000000003,3.716,104.216,110.224
125,7.104,439.896,234.927,289.24,3.719,0.228,1.621,99.6467,96.264
126,6.925,441.918,50.341,336.623,1.848,1.985,3.182,97.24,95.2006
127,1.818,443.902,139.729,283.463,1.065,16.148,4.735,104.216,110.224
128,1.074,445.848,229.247,249.83,1.884,0.545,5.14,99.6467,96.264
129,2.363,447.756,238.162,252.604,2.321,0.671,2.312,97.24,95.2006
130,6.396,449.624,250.396,273.751,3.733,2.2623333333333333,3.213,104.216,110.224
