TIMESTAMP_START,TIMESTAMP_END,TA_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,RH,TS_F_MDS_1,LE_F_MDS,H_F_MDS
2.00E+11,2.00E+11,-32.878,141.016,0.094,102.361,0,4.725,-9999,-25.309,9.35678,-3.80301
2.00E+11,2.00E+11,-32.879,141.016,0.094,102.36,0,4.817,-9999,-25.312,7.99124,-3.80301
2.00E+11,2.00E+11,-32.879,142.679,0.094,102.359,0,4.91,-9999,-25.312,10.0301,-4.84104
2.00E+11,2.00E+11,-32.878,142.679,0.094,102.37,0,4.961,-9999,-25.317,12.69,-5.8896
2.00E+11,2.00E+11,-32.878,142.679,0.094,102.38,0,5.012,-9999,-25.32,15.6014,-5.73477
2.00E+11,2.00E+11,-32.879,142.679,0.094,102.391,0,5.063,-9999,-25.323,18.7886,-5.19619
2.00E+11,2.00E+11,-32.88,142.679,0.094,102.402,0,5.114,-9999,-25.326,20.9026,-4.23439
2.00E+11,2.00E+11,-32.881,142.679,0.094,102.412,0,5.166,-9999,-25.329,23.8438,0.286132
2.00E+11,2.00E+11,-32.882,143.235,0.094,102.423,0,5.217,-9999,-25.332,25.3941,6.83164
2.00E+11,2.00E+11,-32.883,143.235,0.094,102.431,0,5.285,-9999,-25.335,28.6973,18.2295
2.00E+11,2.00E+11,-32.885,143.235,0.094,102.438,0,5.352,-9999,-25.337,33.1053,25.6921
2.00E+11,2.00E+11,-32.886,143.235,0.094,102.446,0,5.42,-9999,-25.34,38.7503,32.2152
2.00E+11,2.00E+11,-32.887,143.235,0.094,102.454,0,5.488,-9999,-25.343,43.5645,36.6038
2.00E+11,2.00E+11,-32.888,143.235,0.094,102.461,0,5.556,-9999,-25.346,46.3058,42.7628
2.00E+11,2.00E+11,-32.889,143.869,0.094,102.469,0,5.624,-9999,-25.348,49.8748,38.4141
2.00E+11,2.00E+11,-32.89,143.869,0.093,102.485,0,5.68,-9999,-25.351,54.0773,41.0307
2.00E+11,2.00E+11,-32.891,143.869,0.093,102.5,0,5.735,-9999,-25.353,57.6874,47.9417
2.00E+11,2.00E+11,-32.893,143.869,0.093,102.516,0,5.791,-9999,-25.356,62.0873,51.4277
2.00E+11,2.00E+11,-35.22,143.869,0.079,102.531,0,5.846,73.88,-26.04,72.9358,48.6499
2.00E+11,2.00E+11,-35.26,143.869,0.078,102.547,0,5.902,73.85,-26.03,80.0013,50.9243
2.00E+11,2.00E+11,-35.26,142.232,0.078,102.563,0,5.957,73.86,-26.01,80.5489,49.634
