Band1,Band2,Band3,Band4,Band5,Band6,NDVI,GNDVI,SAVI,EVI,MSR,TCART,CIrededge１,CIrededge２,CIgreen,DVI,MVI,MTCI,OSAVI,RDVI,RVI,TVI,LCI1,LCI2,VDVI,SIPI,MNVI,CVI,MTVI,MSAVI,EVI,ARVI,SPAD
0.090470432,0.291523091,0.150034011,0.470866834,0.694236514,0.565188955,0.580455,0.3194374,0.512443,0.539086,1.267344,0.849928,0.816782,1.848451,0.797752,0.415155,1.039449506,0.293991,0.474342,0.490896,3.767072,30.56886,0.131878,0.18043,0.415933,0.724032,2.60022,0.997786,0.142737,-0.038111,0.580843,0.458954,33.76666667
0.098990714,0.322720719,0.169331991,0.514248953,0.719041814,0.584468492,0.550725,0.2885261,0.496654,0.521302,1.161965,0.9184194,0.865619,2.080269,0.862965,0.415137,1.025048604,0.203584,0.454297,0.478148,3.451613,31.043739,0.093154,0.178526,0.412709,0.710324,2.460686,0.950269,0.144132,-0.091625,0.558571,0.418369,28.4
0.08863955,0.273481754,0.155327393,0.438431493,0.646596019,0.526767062,0.544558,0.3165082,0.471332,0.488851,1.141148,0.7561939,0.765499,1.490552,0.725057,0.37144,1.02203597,0.312025,0.44109,0.449745,3.391334,27.012555,0.129506,0.175678,0.383089,0.711932,2.76988,1.093981,0.128642,-0.089246,0.517633,0.406997,34.66666667
0.078625575,0.262163815,0.127241839,0.436015461,0.660600272,0.539803139,0.618491,0.346198,0.530264,0.558971,1.416107,0.8071745,0.756911,1.590464,0.731603,0.412561,1.057587338,0.336129,0.498838,0.505139,4.24234,30.150557,0.155593,0.181093,0.43613,0.745725,2.789938,0.999355,0.142673,0.02774,0.601906,0.508544,34.8
0.075282527,0.260645466,0.123729692,0.43584273,0.655607296,0.533313121,0.623374,0.3434281,0.530987,0.559459,1.43651,0.8129113,0.748179,1.548561,0.721323,0.409583,1.059893407,0.312292,0.5013,0.505296,4.310308,30.051637,0.148347,0.186128,0.447421,0.752602,2.833627,0.971306,0.143078,0.036179,0.598431,0.511894,35.6
0.081126654,0.269493864,0.126511531,0.459924706,0.715478421,0.582256565,0.64301,0.3671999,0.565549,0.604153,1.521966,0.8617797,0.819105,2.046441,0.797059,0.455745,1.069116497,0.366908,0.524588,0.54134,4.602399,33.063995,0.172598,0.187963,0.443796,0.755415,2.580401,1.014254,0.151625,0.062866,0.657498,0.544134,32.76666667
0.074916943,0.253159802,0.12013824,0.426146268,0.658314513,0.536149251,0.633885,0.3585281,0.539672,0.57004,1.481553,0.7953029,0.748202,1.569131,0.71789,0.416011,1.064840517,0.359477,0.509638,0.51352,4.462769,30.281523,0.167614,0.186146,0.443792,0.754799,2.830357,1.005026,0.143375,0.053127,0.613549,0.52856,32.56666667
0.074093489,0.248304782,0.107869733,0.436353167,0.733468224,0.597507452,0.69415,0.4128607,0.609317,0.659393,1.775065,0.8333122,0.822154,2.241787,0.79488,0.489638,1.0927718,0.490601,0.565808,0.582994,5.539158,34.995665,0.228465,0.192749,0.463688,0.779353,2.554167,1.045377,0.157773,0.148303,0.724734,0.616735,35.2
0.076932072,0.252389856,0.124996556,0.439419487,0.680483157,0.552832899,0.631186,0.3731179,0.544862,0.577276,1.469834,0.81177,0.777692,1.730215,0.739467,0.427836,1.0635722,0.360703,0.510648,0.519658,4.422785,30.765913,0.167319,0.188322,0.428538,0.75568,2.731041,1.084796,0.14325,0.047279,0.619757,0.523178,34.6
0.0751727,0.248872677,0.122946141,0.411687764,0.621218783,0.507461333,0.609947,0.3418974,0.510234,0.533299,1.381164,0.7571869,0.708302,1.339721,0.6756,0.384515,1.053540255,0.331693,0.486477,0.484287,4.127509,28.107973,0.151923,0.180451,0.430582,0.741956,2.968579,1.007311,0.135915,0.015599,0.571738,0.496537,33.86666667
