NDVI,GNDVI,SAVI,MTCI,LCI1,EVI,SPAD
0.580455275,0.319437394,0.512442928,0.293991496,0.131877926,0.580842696,33.76666667
0.550724641,0.288526108,0.496653781,0.203583895,0.093154011,0.558570746,28.4
0.544557525,0.316508195,0.471332473,0.312025043,0.129506358,0.51763262,34.66666667
0.618490977,0.346197962,0.530264011,0.336128707,0.155593224,0.601905876,34.8
0.623374033,0.343428057,0.530987389,0.312291955,0.148347092,0.598430912,35.6
0.643010085,0.367199935,0.565548969,0.366907697,0.172597865,0.657498105,32.76666667
0.633885327,0.358528067,0.539672462,0.359477442,0.167614018,0.613548779,32.56666667
0.694150207,0.412860747,0.609316808,0.490600953,0.228465407,0.724734405,35.2
0.631185825,0.373117924,0.544862003,0.360703373,0.167318506,0.619757455,34.6
0.609947069,0.341897433,0.510234407,0.33169298,0.151923277,0.571738198,33.86666667
0.687256988,0.401030474,0.600628143,0.470199822,0.219798771,0.710469508,33.96666667
0.654853298,0.37099894,0.578189217,0.371297459,0.177310447,0.674044201,34.4
0.684301868,0.427690388,0.595978564,0.534149687,0.238255518,0.697427957,34.76666667
0.711363609,0.440733168,0.639802809,0.572141166,0.258882862,0.773719956,32.66666667
0.705804051,0.427383605,0.631196589,0.534766441,0.245926879,0.755720369,34.23333333
0.700343904,0.415781912,0.618739148,0.498430829,0.23295903,0.733776948,32.8
0.680365613,0.388857197,0.605901831,0.422192682,0.201973605,0.717958666,33.8
0.638910669,0.380133776,0.556042232,0.418191699,0.188399875,0.632809078,34.46666667
0.680481668,0.414224046,0.59083367,0.517925377,0.232184487,0.696071051,34.06666667
0.692560932,0.419843779,0.630974883,0.523833345,0.238074925,0.766070537,37.8
0.702171738,0.422450272,0.636410246,0.523469053,0.241268553,0.772625057,34.9
0.72308754,0.436982441,0.655214433,0.536121191,0.252364563,0.801239532,35.46666667
0.708184154,0.41393418,0.634620444,0.476817185,0.228650085,0.765782392,33.46666667
0.645406033,0.385656956,0.560981884,0.484291686,0.210581774,0.651103889,36.23333333
0.661604264,0.388034513,0.586713957,0.449783036,0.205257178,0.694769987,33.53333333
0.6749393,0.393257263,0.625121207,0.467069969,0.21487992,0.753031763,34.96666667
0.669907941,0.363988036,0.666086058,0.389469152,0.187775653,0.845569406,36.33333333
0.708287225,0.418703588,0.6396035,0.516509713,0.241236326,0.771772542,34.76666667
0.701098287,0.40451435,0.650853463,0.47492697,0.225753879,0.793335457,31.5
0.691996013,0.406363165,0.620996416,0.506336195,0.232605861,0.744824486,34.93333333
0.658738641,0.382774456,0.583145506,0.442558757,0.202092673,0.68645944,35.83333333
0.691098938,0.398872252,0.63894962,0.466560548,0.219861021,0.780818833,37.16666667
0.682778832,0.399390936,0.645061037,0.476887801,0.220469622,0.785119419,34.63333333
0.693156465,0.403246198,0.628794982,0.486682685,0.226912745,0.759416235,36.03333333
0.689577754,0.399448908,0.641467026,0.479927042,0.22362387,0.783151751,34.83333333
0.696123718,0.40555209,0.636347011,0.499717157,0.231953715,0.768195994,37.16666667
