SW_IN_FF,SW_IN_F
0.077672414,2.367241379
2.367241379,7.844827586
7.844827586,14.95689655
14.95689655,22
22,27.95689655
27.95689655,33.57758621
33.57758621,36.71551724
36.71551724,40.06896552
40.06896552,40.18965517
40.18965517,40.35344828
40.35344828,38.95689655
38.95689655,37.05172414
37.05172414,32.43965517
32.43965517,26.69827586
26.69827586,20.72413793
20.72413793,15.67241379
15.67241379,8.482758621
1.362931034,6.269827586
6.269827586,16.18965517
16.18965517,22.76724138
22.76724138,29.74137931
29.74137931,33.79310345
33.79310345,33.64655172
33.64655172,30.04310345
30.04310345,29.4137931
29.4137931,27.71551724
27.71551724,24.60344828
24.60344828,19.36206897
19.36206897,16.1637931
16.1637931,12.59482759
12.59482759,10.93103448
10.93103448,6.956896552
6.956896552,3.902586207
1.282758621,5.205172414
5.205172414,8.74137931
8.74137931,15.56896552
15.56896552,20.71551724
20.71551724,22.79310345
22.79310345,28.8362069
28.8362069,30.20689655
30.20689655,30.5
30.5,18.0862069
18.0862069,23.67241379
23.67241379,21.01724138
21.01724138,13.37068966
13.37068966,10.48275862
10.48275862,8.913793103
8.913793103,7.810344828
7.810344828,4.225
1.627586207,6.895689655
6.895689655,9.310344828
9.310344828,13.45689655
13.45689655,19.4137931
19.4137931,24.18965517
24.18965517,33.37068966
33.37068966,33.9137931
33.9137931,34.51724138
34.51724138,23.43965517
23.43965517,27.81896552
27.81896552,23.87068966
23.87068966,15.78448276
15.78448276,16.38793103
16.38793103,9.681034483
9.681034483,4.745689655
4.745689655,2.318965517
1.197413793,4.71637931
4.71637931,11.62068966
11.62068966,15.79310345
15.79310345,25.31896552
25.31896552,31.35344828
31.35344828,34.20689655
34.20689655,30.80172414
30.80172414,32.5
32.5,33
33,36.1637931
36.1637931,33.94827586
33.94827586,30.74137931
30.74137931,22.03448276
22.03448276,19.25862069
19.25862069,13.55172414
13.55172414,7.836206897
0.095344828,3.628448276
3.628448276,10.06034483
10.06034483,17.23275862
17.23275862,23.52586207
23.52586207,29.90517241
29.90517241,34.20689655
34.20689655,32.93965517
32.93965517,35.9137931
35.9137931,39.62931034
39.62931034,40.81034483
40.81034483,40.18103448
40.18103448,38.50862069
38.50862069,34.12931034
34.12931034,30.18103448
30.18103448,24.4137931
24.4137931,16.34482759
16.34482759,7.543103448
0.099137931,2.795689655
2.795689655,8.922413793
8.922413793,15.86206897
15.86206897,23.05172414
23.05172414,29.27586207
29.27586207,34.47413793
34.47413793,38.64655172
38.64655172,41.45689655
41.45689655,42.93965517
42.93965517,42.73275862
42.73275862,41.49137931
41.49137931,38.82758621
38.82758621,34.60344828
34.60344828,29.85344828
29.85344828,23.73275862
23.73275862,16.87931034
16.87931034,9.801724138
0.180258621,3.640517241
3.640517241,10.10344828
10.10344828,17.10344828
17.10344828,24.01724138
24.01724138,30.26724138
30.26724138,35.59482759
35.59482759,39.64655172
39.64655172,42.36206897
42.36206897,43.81034483
43.81034483,43.78448276
43.78448276,42.43103448
42.43103448,39.40517241
39.40517241,34.77586207
34.77586207,29.63793103
29.63793103,26.25862069
26.25862069,18.75862069
18.75862069,11.09482759
2.023275862,6.147413793
6.147413793,12.31896552
12.31896552,17.81896552
17.81896552,18.62931034
18.62931034,28.39655172
28.39655172,31.43103448
31.43103448,35.74137931
35.74137931,38.68103448
38.68103448,37.77586207
37.77586207,31.27586207
31.27586207,25.57758621
25.57758621,27.23275862
27.23275862,18.02586207
18.02586207,11.02586207
11.02586207,8.017241379
8.017241379,3.478448276
1.282758621,4.887931034
4.887931034,8.456896552
8.456896552,9.99137931
9.99137931,11.47413793
11.47413793,16.93103448
16.93103448,23.88793103
23.88793103,26.5
26.5,28.31896552
28.31896552,21.43103448
21.43103448,16.94827586
16.94827586,15.23275862
15.23275862,21.96551724
21.96551724,18.65517241
18.65517241,12.37068966
12.37068966,9.25
9.25,6.737068966
6.737068966,3.253448276
1.512931034,6.162068966
6.162068966,7.224137931
7.224137931,14.68103448
14.68103448,24.69827586
24.69827586,32.69827586
32.69827586,37.35344828
37.35344828,41.50862069
41.50862069,43.40517241
43.40517241,34.47413793
34.47413793,42.3362069
42.3362069,22.05172414
22.05172414,26.48275862
26.48275862,27.40517241
27.40517241,24.14655172
24.14655172,15.87068966
15.87068966,8.224137931
8.224137931,2.984482759
0.099224138,3.265517241
3.265517241,9.698275862
9.698275862,16.65517241
16.65517241,23.47413793
23.47413793,29.5862069
29.5862069,34.68103448
34.68103448,38.8362069
38.8362069,41.56896552
41.56896552,43.06034483
43.06034483,43.02586207
43.02586207,41.76724138
41.76724138,39.1637931
39.1637931,34.90517241
34.90517241,30.09482759
30.09482759,23.46551724
23.46551724,16.20689655
16.20689655,9.387931034
9.387931034,3.468965517
1.743965517,6.435344828
6.435344828,11.84482759
11.84482759,16.63793103
16.63793103,15.64655172
15.64655172,25.38793103
25.38793103,23.78448276
23.78448276,22.62068966
22.62068966,12.37931034
12.37931034,14.31896552
14.31896552,14.51724138
14.51724138,18.01724138
18.01724138,13.4137931
13.4137931,5.160344828
5.160344828,4.686206897
4.686206897,3.718965517
3.718965517,2.356896552
0.119741379,3.256034483
3.256034483,10.10344828
10.10344828,17.53448276
17.53448276,24.62931034
24.62931034,30.69827586
30.69827586,36.06896552
